"task","bones_activated","bones_deactivated","diff_activated_minus_deactivated"
49,-2.34099999999999,-2.35899999999999,0.0180000000000078
51,-15.35,-15.368,0.0180000000000078
52,-0.948,-0.966000000000008,0.0180000000000078
53,-2.05099999999999,-2.069,0.0180000000000078
54,-15.805,-15.823,0.0180000000000078
55,-12.37,-12.388,0.0180000000000078
56,1.99600000000002,1.97800000000001,0.0180000000000078
57,1.82699999999999,1.80899999999998,0.0180000000000078
58,-13.474,-13.492,0.0180000000000078
59,-9.55199999999999,-9.56999999999999,0.0180000000000078
60,1.944,1.92599999999999,0.0180000000000078
61,1.50599999999999,1.48799999999999,0.0180000000000078
62,-11.062,-11.08,0.0180000000000078
63,-7.61199999999999,-7.63,0.0180000000000078
112,-0.157999999999994,-0.176000000000002,0.0180000000000078
113,-2.264,-2.28200000000001,0.0180000000000078
116,0.190000000000005,0.171999999999997,0.0180000000000078
117,-2.04500000000001,-2.06300000000002,0.0180000000000078
120,3.25200000000002,3.23400000000001,0.0180000000000078
121,1.61999999999998,1.60199999999998,0.0180000000000078
124,3.03699999999998,3.01899999999998,0.0180000000000078
125,1.46,1.44199999999999,0.0180000000000078
127,-6.172,-6.19000000000001,0.0180000000000078
146,-11.386,-11.404,0.0180000000000078
147,-8.995,-9.013,0.0180000000000078
151,-7.451,-7.46900000000001,0.0180000000000078
154,-7.26199999999999,-7.28,0.0180000000000078
155,-5.189,-5.20700000000001,0.0180000000000078
158,-5.99999999999999,-6.018,0.0180000000000078
159,-4.40499999999999,-4.423,0.0180000000000078
163,-8.36899999999999,-8.387,0.0180000000000078
171,-4.671,-4.68900000000001,0.0180000000000078
176,4.33899999999999,4.32099999999998,0.0180000000000078
177,1.989,1.97099999999999,0.0180000000000078
181,-0.43,-0.448000000000008,0.0180000000000078
182,-9.06,-9.078,0.0180000000000078
183,-7.412,-7.43000000000001,0.0180000000000078
184,4.21,4.19199999999999,0.0180000000000078
185,2.94500000000001,2.927,0.0180000000000078
186,-7.09200000000001,-7.11000000000001,0.0180000000000078
187,-5.151,-5.16900000000001,0.0180000000000078
188,2.802,2.78399999999999,0.0180000000000078
189,1.668,1.64999999999999,0.0180000000000078
190,-5.91299999999999,-5.931,0.0180000000000078
191,-4.418,-4.43600000000001,0.0180000000000078
223,-3.017,-3.03500000000001,0.0180000000000078
234,-2.596,-2.614,0.0180000000000078
240,4.074,4.056,0.0180000000000078
241,1.47299999999999,1.45499999999998,0.0180000000000078
244,1.91100000000001,1.893,0.0180000000000078
245,-0.278999999999989,-0.296999999999997,0.0180000000000078
248,5.057,5.03899999999999,0.0180000000000078
249,3.175,3.157,0.0180000000000078
252,3.933,3.91499999999999,0.0180000000000078
253,2.308,2.28999999999999,0.0180000000000078
258,-15.298,-15.316,0.0180000000000078
259,-13.329,-13.347,0.0180000000000078
263,-10.263,-10.281,0.0180000000000078
267,-6.953,-6.971,0.0180000000000078
270,-7.314,-7.33200000000001,0.0180000000000078
271,-5.678,-5.69600000000001,0.0180000000000078
272,-3.13100000000001,-3.14900000000002,0.0180000000000078
273,-5.114,-5.132,0.0180000000000078
274,-19.668,-19.686,0.0180000000000078
275,-16.404,-16.422,0.0180000000000078
276,-2.03599999999999,-2.054,0.0180000000000078
277,-3.84499999999999,-3.863,0.0180000000000078
278,-16.113,-16.131,0.0180000000000078
279,-13.044,-13.062,0.0180000000000078
280,0.979999999999997,0.961999999999989,0.0180000000000078
281,0.116000000000007,0.097999999999999,0.0180000000000078
282,-13.659,-13.677,0.0180000000000078
283,-9.987,-10.005,0.0180000000000078
284,0.976000000000006,0.957999999999998,0.0180000000000078
285,0.0719999999999956,0.0539999999999878,0.0180000000000078
286,-11.243,-11.261,0.0180000000000078
287,-8.054,-8.072,0.0180000000000078
290,-15.05,-15.068,0.0180000000000078
291,-13.311,-13.329,0.0180000000000078
294,-11.755,-11.773,0.0180000000000078
295,-10.329,-10.347,0.0180000000000078
299,-6.94100000000001,-6.95900000000002,0.0180000000000078
302,-7.26,-7.27800000000001,0.0180000000000078
303,-5.691,-5.709,0.0180000000000078
304,-3.14899999999999,-3.167,0.0180000000000078
305,-5.09,-5.108,0.0180000000000078
306,-19.543,-19.561,0.0180000000000078
307,-16.346,-16.364,0.0180000000000078
308,-2.14000000000001,-2.15800000000002,0.0180000000000078
309,-3.879,-3.89700000000001,0.0180000000000078
310,-15.935,-15.953,0.0180000000000078
311,-13.023,-13.041,0.0180000000000078
312,0.875000000000007,0.856999999999999,0.0180000000000078
313,0.0959999999999965,0.0779999999999887,0.0180000000000078
314,-13.467,-13.485,0.0180000000000078
315,-9.977,-9.995,0.0180000000000078
316,0.848000000000006,0.829999999999998,0.0180000000000078
317,0.0290000000000035,0.0109999999999957,0.0180000000000078
318,-11.081,-11.099,0.0180000000000078
319,-8.072,-8.09,0.0180000000000078
335,-4.201,-4.21900000000001,0.0180000000000078
368,-2.807,-2.825,0.0180000000000078
369,-5.41799999999999,-5.43599999999999,0.0180000000000078
372,-1.73399999999999,-1.752,0.0180000000000078
373,-4.27999999999999,-4.298,0.0180000000000078
374,-13.345,-13.363,0.0180000000000078
376,1.78900000000001,1.771,0.0180000000000078
377,-0.18699999999999,-0.204999999999998,0.0180000000000078
